,Team,Result,For,Aga,Diff,Tries,Conv,Pens,Drop,Opposition,Ground,Match Date
8,Scotland,lost,21.0,61.0,-40.0,3.0,3.0,0.0,0.0,v England,Twickenham,11 Mar 2017
9,Scotland,won,29.0,13.0,16.0,2.0,2.0,5.0,0.0,v Wales,Murrayfield,25 Feb 2017
10,Scotland,lost,16.0,22.0,-6.0,2.0,0.0,2.0,0.0,v France,Stade de France,12 Feb 2017
11,Scotland,won,27.0,22.0,5.0,3.0,3.0,2.0,0.0,v Ireland,Murrayfield,4 Feb 2017
12,Scotland,won,43.0,16.0,27.0,6.0,5.0,1.0,0.0,v Georgia,Kilmarnock,26 Nov 2016
13,Scotland,won,19.0,16.0,3.0,1.0,1.0,4.0,0.0,v Argentina,Murrayfield,19 Nov 2016
14,Scotland,lost,22.0,23.0,-1.0,3.0,2.0,1.0,0.0,v Australia,Murrayfield,12 Nov 2016
15,Scotland,won,21.0,16.0,5.0,0.0,0.0,7.0,0.0,v Japan,Tokyo,25 Jun 2016
16,Scotland,won,26.0,13.0,13.0,2.0,2.0,4.0,0.0,v Japan,Aichi,18 Jun 2016
17,Scotland,lost,25.0,35.0,-10.0,3.0,2.0,2.0,0.0,v Ireland,Lansdowne Road,19 Mar 2016
18,Scotland,won,29.0,18.0,11.0,3.0,1.0,4.0,0.0,v France,Murrayfield,13 Mar 2016
19,Scotland,won,36.0,20.0,16.0,3.0,3.0,5.0,0.0,v Italy,Rome,27 Feb 2016
20,Scotland,lost,23.0,27.0,-4.0,2.0,2.0,3.0,0.0,v Wales,Millennium Stadium,13 Feb 2016
21,Scotland,lost,9.0,15.0,-6.0,0.0,0.0,3.0,0.0,v England,Murrayfield,6 Feb 2016
22,Scotland,lost,34.0,35.0,-1.0,3.0,2.0,5.0,0.0,v Australia,Twickenham,18 Oct 2015
23,Scotland,won,36.0,33.0,3.0,3.0,3.0,5.0,0.0,v Samoa,Newcastle,10 Oct 2015
24,Scotland,lost,16.0,34.0,-18.0,1.0,1.0,3.0,0.0,v South Africa,Newcastle,3 Oct 2015
25,Scotland,won,39.0,16.0,23.0,5.0,4.0,2.0,0.0,v USA,Leeds,27 Sep 2015
26,Scotland,won,45.0,10.0,35.0,5.0,4.0,4.0,0.0,v Japan,Gloucester,23 Sep 2015
27,Scotland,lost,16.0,19.0,-3.0,1.0,1.0,3.0,0.0,v France,Stade de France,5 Sep 2015
28,Scotland,won,48.0,7.0,41.0,6.0,3.0,4.0,0.0,v Italy,Murrayfield,29 Aug 2015
29,Scotland,won,16.0,12.0,4.0,1.0,1.0,3.0,0.0,v Italy,Torino,22 Aug 2015
30,Scotland,lost,22.0,28.0,-6.0,3.0,2.0,1.0,0.0,v Ireland,Lansdowne Road,15 Aug 2015
31,Scotland,lost,10.0,40.0,-30.0,1.0,1.0,1.0,0.0,v Ireland,Murrayfield,21 Mar 2015
32,Scotland,lost,13.0,25.0,-12.0,1.0,1.0,2.0,0.0,v England,Twickenham,14 Mar 2015
33,Scotland,lost,19.0,22.0,-3.0,1.0,1.0,4.0,0.0,v Italy,Murrayfield,28 Feb 2015
34,Scotland,lost,23.0,26.0,-3.0,2.0,2.0,3.0,0.0,v Wales,Murrayfield,15 Feb 2015
35,Scotland,lost,8.0,15.0,-7.0,1.0,0.0,1.0,0.0,v France,Stade de France,7 Feb 2015
36,Scotland,won,37.0,12.0,25.0,5.0,3.0,2.0,0.0,v Tonga,Kilmarnock,22 Nov 2014
37,Scotland,lost,16.0,24.0,-8.0,1.0,1.0,3.0,0.0,v New Zealand,Murrayfield,15 Nov 2014
38,Scotland,won,41.0,31.0,10.0,5.0,5.0,2.0,0.0,v Argentina,Murrayfield,8 Nov 2014
39,Scotland,lost,6.0,55.0,-49.0,0.0,0.0,2.0,0.0,v South Africa,Port Elizabeth,28 Jun 2014
40,Scotland,won,21.0,19.0,2.0,2.0,1.0,3.0,0.0,v Argentina,Cordoba,20 Jun 2014
41,Scotland,won,19.0,17.0,2.0,1.0,1.0,4.0,0.0,v Canada,Toronto,14 Jun 2014
42,Scotland,won,24.0,6.0,18.0,3.0,3.0,1.0,0.0,v USA,Houston,7 Jun 2014
43,Scotland,lost,3.0,51.0,-48.0,0.0,0.0,1.0,0.0,v Wales,Millennium Stadium,15 Mar 2014
44,Scotland,lost,17.0,19.0,-2.0,2.0,2.0,1.0,0.0,v France,Murrayfield,8 Mar 2014
45,Scotland,won,21.0,20.0,1.0,2.0,1.0,2.0,1.0,v Italy,Rome,22 Feb 2014
46,Scotland,lost,0.0,20.0,-20.0,0.0,0.0,0.0,0.0,v England,Murrayfield,8 Feb 2014
47,Scotland,lost,6.0,28.0,-22.0,0.0,0.0,2.0,0.0,v Ireland,Lansdowne Road,2 Feb 2014
0,Ireland,won,15.0,13.0,2.0,0.0,0.0,4.0,1.0,v France,Stade de France,3 Feb 2018
1,Ireland,won,28.0,19.0,9.0,3.0,2.0,3.0,0.0,v Argentina,Lansdowne Road,25 Nov 2017
2,Ireland,won,23.0,20.0,3.0,3.0,1.0,2.0,0.0,v Fiji,Lansdowne Road,18 Nov 2017
