,Team,Result,For,Aga,Diff,Tries,Conv,Pens,Drop,Opposition,Ground,Match Date
4,Italy,lost,15.0,31.0,-16.0,0,0,4,1,v Argentina,Firenze,18 Nov 2017
5,Italy,won,19.0,10.0,9.0,1,1,4,0,v Fiji,Catania,11 Nov 2017
6,Italy,lost,27.0,40.0,-13.0,3,3,2,0,v Australia,Brisbane,24 Jun 2017
7,Italy,lost,19.0,22.0,-3.0,1,1,4,0,v Fiji,Suva,17 Jun 2017
8,Italy,lost,13.0,34.0,-21.0,2,0,1,0,v Scotland,Singpore,10 Jun 2017
9,Italy,lost,0.0,29.0,-29.0,0,0,0,0,v Scotland,Murrayfield,18 Mar 2017
10,Italy,lost,18.0,40.0,-22.0,2,1,2,0,v France,Rome,11 Mar 2017
11,Italy,lost,15.0,36.0,-21.0,2,1,0,1,v England,Twickenham,26 Feb 2017
12,Italy,lost,10.0,63.0,-53.0,1,1,1,0,v Ireland,Rome,11 Feb 2017
13,Italy,lost,7.0,33.0,-26.0,1,1,0,0,v Wales,Rome,5 Feb 2017
14,Italy,lost,17.0,19.0,-2.0,2,2,1,0,v Tonga,Padova,26 Nov 2016
15,Italy,won,20.0,18.0,2.0,2,2,2,0,v South Africa,Firenze,19 Nov 2016
16,Italy,lost,10.0,68.0,-58.0,1,1,1,0,v New Zealand,Rome,12 Nov 2016
17,Italy,won,20.0,18.0,2.0,1,0,5,0,v Canada,Toronto,26 Jun 2016
18,Italy,won,24.0,20.0,4.0,2,1,3,1,v USA,San Jose,18 Jun 2016
19,Italy,lost,24.0,30.0,-6.0,2,1,4,0,v Argentina,Santa Fe,11 Jun 2016
20,Italy,lost,14.0,67.0,-53.0,2,2,0,0,v Wales,Millennium Stadium,19 Mar 2016
21,Italy,lost,15.0,58.0,-43.0,2,1,1,0,v Ireland,Lansdowne Road,12 Mar 2016
22,Italy,lost,20.0,36.0,-16.0,2,2,2,0,v Scotland,Rome,27 Feb 2016
23,Italy,lost,9.0,40.0,-31.0,0,0,3,0,v England,Rome,14 Feb 2016
24,Italy,lost,21.0,23.0,-2.0,2,1,2,1,v France,Stade de France,6 Feb 2016
25,Italy,won,32.0,22.0,10.0,4,3,2,0,v Romania,Exeter,11 Oct 2015
26,Italy,lost,9.0,16.0,-7.0,0,0,3,0,v Ireland,London,4 Oct 2015
27,Italy,won,23.0,18.0,5.0,2,2,3,0,v Canada,Leeds,26 Sep 2015
28,Italy,lost,10.0,32.0,-22.0,1,1,1,0,v France,Twickenham,19 Sep 2015
29,Italy,lost,19.0,23.0,-4.0,2,0,2,1,v Wales,Millennium Stadium,5 Sep 2015
30,Italy,lost,7.0,48.0,-41.0,1,1,0,0,v Scotland,Murrayfield,29 Aug 2015
31,Italy,lost,12.0,16.0,-4.0,0,0,4,0,v Scotland,Torino,22 Aug 2015
32,Italy,lost,20.0,61.0,-41.0,2,2,2,0,v Wales,Rome,21 Mar 2015
33,Italy,lost,0.0,29.0,-29.0,0,0,0,0,v France,Rome,15 Mar 2015
34,Italy,won,22.0,19.0,3.0,3,2,1,0,v Scotland,Murrayfield,28 Feb 2015
35,Italy,lost,17.0,47.0,-30.0,3,1,0,0,v England,Twickenham,14 Feb 2015
36,Italy,lost,3.0,26.0,-23.0,0,0,1,0,v Ireland,Rome,7 Feb 2015
37,Italy,lost,6.0,22.0,-16.0,0,0,2,0,v South Africa,Padova,22 Nov 2014
38,Italy,lost,18.0,20.0,-2.0,0,0,6,0,v Argentina,Genova,14 Nov 2014
39,Italy,won,24.0,13.0,11.0,2,1,4,0,v Samoa,Ascoli Piceno,8 Nov 2014
40,Italy,lost,23.0,26.0,-3.0,2,2,3,0,v Japan,Tokyo,21 Jun 2014
41,Italy,lost,0.0,15.0,-15.0,0,0,0,0,v Samoa,Apia,14 Jun 2014
42,Italy,lost,14.0,25.0,-11.0,2,2,0,0,v Fiji,Suva,7 Jun 2014
43,Italy,lost,11.0,52.0,-41.0,1,0,2,0,v England,Rome,15 Mar 2014
44,Italy,lost,7.0,46.0,-39.0,1,1,0,0,v Ireland,Lansdowne Road,8 Mar 2014
45,Italy,lost,20.0,21.0,-1.0,2,2,2,0,v Scotland,Rome,22 Feb 2014
46,Italy,lost,10.0,30.0,-20.0,1,1,1,0,v France,Stade de France,9 Feb 2014
47,Italy,lost,15.0,23.0,-8.0,2,1,1,0,v Wales,Millennium Stadium,1 Feb 2014
